repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
paulfloyd/freebsd_valgrind	633	633	3548	1	96	15.2	66	VIOLATION_KEPT
stefanberger/linux-ima-namespaces							3137	TOO_BIG
pop-os/mesa							458	TOO_BIG
sailfishos-mirror/qemu							411	TOO_BIG
openssh/openssh-portable-selfhosted	203	203	529	0	7	3.4	10	VIOLATION_KEPT
damonitor/linux							2497	TOO_BIG
ca2/operating_system-windows	2718	2744	2526	2	241	8.9	55	VIOLATION_KEPT
sailfishos-mirror/bluez	717	717	3243	0	74	10.3	20	VIOLATION_KEPT
arthenica/fontconfig	63	63	54	0	5	7.9	3	VIOLATION_KEPT
sunjw/some-learning							4381	TOO_BIG
delphix/linux-kernel-gcp							3889	TOO_BIG
sailfishos/bluez5	718	718	3220	0	74	10.3	20	VIOLATION_KEPT
delphix/linux-kernel-aws							3989	TOO_BIG
MontaVista-OpenSourceTechnology/linux-mvista							3272	TOO_BIG
arthenica/gnulib	2566	2566	2260	0	71	2.8	63	VIOLATION_KEPT
xu1119/torvalds-linux-mirror							2620	TOO_BIG
nubificus/qemu-vaccel							438	TOO_BIG
PhoshMobi/phoc	174	174	466	4	10	5.7	4	VIOLATION_KEPT
linuxppc/linux-ci							2850	TOO_BIG
Gateworks/linux-venice							2743	TOO_BIG
DerpFest-Devices/kernel_lenovo_sm8150							1262	TOO_BIG
sailfishos-mirror/sqlite							269	TOO_BIG
sailfishos-mirror/libpcap	28	28	4	0	3	10.7	6	VIOLATION_KEPT
sailfishos-mirror/mesa							678	TOO_BIG
FireSourcery/FireSourcery_Library	308	318	620	1	14	4.5	91	VIOLATION_KEPT
sailfishos-mirror/openssh-portable	203	203	529	0	7	3.4	10	VIOLATION_KEPT
sailfishos-mirror/firejail	229	229	248	0	2	0.9	6	VIOLATION_KEPT
Andarix/simutrans							721	TOO_BIG
delphix/linux-kernel-generic							3868	TOO_BIG
sailfishos-mirror/curl	623	623	2437	1	28	4.5	40	VIOLATION_KEPT
markjdb/freebsd							1984	TOO_BIG
drfiemost/vice-emu							311	TOO_BIG
gehelem/OST	228	228	574	1	8	3.5	6	VIOLATION_KEPT
ahjragaas/busybox	745	745	877	0	10	1.3	15	VIOLATION_KEPT
evadot/freebsd							1943	TOO_BIG
Linux-On-Sdm6Series/kernel_asus_sdm660							1965	TOO_BIG
davischw/frr	1375	1375	11121	3	90	6.5	67	VIOLATION_KEPT
orioledb/orioledb	147	147	855	1	11	7.5	10	VIOLATION_KEPT
TryQuiet/quiet							706	TOO_BIG
istoreos/istoreos							281	TOO_BIG
IvorySQL/IvorySQL							321	TOO_BIG
sailfishos-mirror/ffmpeg	4288	4288	22348	0	90	2.1	111	VIOLATION_KEPT
Xilinx/mlir-aie							1462	TOO_BIG
shorepine/tulipcc							469	TOO_BIG
a1ive/nwinfo	186	186	407	0	12	6.5	20	VIOLATION_KEPT
cilium/tetragon	103	103	385	0	2	1.9	66	VIOLATION_KEPT
babelfish-for-postgresql/postgresql_modified_for_babelfish							340	TOO_BIG
duanery/perf-prof	515	516	1080	0	3	0.6	36	VIOLATION_KEPT
LineageOS/android_kernel_xiaomi_sm8250							1735	TOO_BIG
Xeeynamo/sotn-decomp	2054	2054	3472	0	60	2.9	38	VIOLATION_KEPT
AsahiLinux/u-boot							333	TOO_BIG
NVIDIA/edk2-nvidia	983	983	1746	1	51	5.2	23	VIOLATION_KEPT
EmanuelCN/kernel_xiaomi_sm8250							1576	TOO_BIG
raystef66/InfiniR_kernel_alioth							1528	TOO_BIG
BobTheBuidler/dank_mids							1491	TOO_BIG
KJ7LNW/xnec2c	192	192	536	1	8	4.2	11	VIOLATION_KEPT
203-Systems/MatrixOS	563	564	932	1	23	4.1	36	VIOLATION_KEPT
BobTheBuidler/ypricemagic	0	0	0	0	0		0	CLEAN
heywoodlh/nixos-configs	1	1	0	0	0	0.0	0	CLEAN
pantavisor/pantavisor	10	10	0	0	1	10.0	8	VIOLATION_KEPT
Klipper3d/klipper-translations							289	TOO_BIG
nanomq/NanoNNG	318	318	745	1	39	12.3	20	VIOLATION_KEPT
libsdl-org/libtiff	87	87	134	0	12	13.8	9	VIOLATION_KEPT
msdos03/openwrt-avanta							292	TOO_BIG
LineageOS/android_kernel_samsung_exynos9820							1207	TOO_BIG
Jason2866/Tasmota-build							277	TOO_BIG
onera/Cassiopee							230	TOO_BIG
BlazingRenderer/BRender	508	510	838	1	36	7.1	15	VIOLATION_KEPT
LineageOS/android_kernel_motorola_sm8250							1842	TOO_BIG
TF-Hafnium/hafnium	245	245	833	0	3	1.2	8	VIOLATION_KEPT
lf-lang/reactor-c	154	154	399	2	2	1.3	4	VIOLATION_KEPT
greenbone/gsad	67	67	151	0	5	7.5	3	VIOLATION_KEPT
LineageOS/android_kernel_google_msm-4.14							1345	TOO_BIG
crdroidandroid/android_kernel_oneplus_sm8350							1701	TOO_BIG
ammarfaizi2/linux-block							6343	TOO_BIG
crdroidandroid/android_kernel_xiaomi_sm8150							1374	TOO_BIG
wolfSSL/wolfProvider	50	50	94	0	2	4.0	64	VIOLATION_KEPT
Fraunhofer-AISEC/cmc	8	8	10	0	0	0.0	0	CLEAN
Tiktodz/android_kernel_asus_sdm636							1003	TOO_BIG
elf-audio/mzgl	439	439	736	1	15	3.4	29	VIOLATION_KEPT
Inkypen79/kernel_xiaomi_odin							1962	TOO_BIG
NVIDIA/edk2							321	TOO_BIG
ioccc-src/mkiocccentry	126	128	421	2	10	7.9	12	VIOLATION_KEPT
AspeedTech-BMC/zephyr							613	TOO_BIG
msm8974-mainline/linux							2663	TOO_BIG
open-enterprise-solutions/enterprise	1118	1125	2684	0	62	5.5	68	VIOLATION_KEPT
Sarisan/WSL2-Sekoohaka-Kernel							2437	TOO_BIG
Atom-X-Devs/android_kernel_xiaomi_sm7325							1898	TOO_BIG
pix106/android_kernel_xiaomi_southwest-4.19							2009	TOO_BIG
greenforce-project/kernel_xiaomi_citrus_sm6115							1479	TOO_BIG
ArduPilot/ChibiOS.svn							209	TOO_BIG
1582130940/android_kernel_xiaomi_sm8250							1939	TOO_BIG
fpetrot/qemu-riscv128							510	TOO_BIG
LineageOS/android_kernel_xiaomi_gauguin							1795	TOO_BIG
waydroid/android_external_mesa3d							688	TOO_BIG
vsfteam/vsf-all-in-one							395	TOO_BIG
NVIDIA/edk2-platforms	1997	1997	2255	0	157	7.9	45	VIOLATION_KEPT
nrfconnect/sdk-mbedtls	121	121	311	0	12	9.9	16	VIOLATION_KEPT
baidxi/buildroot	375	375	638	2	367	97.9	64	VIOLATION_KEPT
openharmony/kernel_linux_5.10							1976	TOO_BIG
sunlightlinux/linux-sunlight							3187	TOO_BIG
d1aznr/kernel_xiaomi_alioth							1464	TOO_BIG
LineageOS/android_kernel_nvidia_kernel							3116	TOO_BIG
KevinOConnor/klipper-dev	691	691	1180	1	37	5.4	222	VIOLATION_KEPT
danascape/linux-oneplus-sm6350							1503	TOO_BIG
kernel-patches/bpf-rc							2644	TOO_BIG
sailfishos-mirror/valgrind	633	633	3548	1	96	15.2	66	VIOLATION_KEPT
Rtoax/test-linux	3334	2654	3623	0	44	1.3	39	VIOLATION_KEPT
atmark-techno/linux-5.10-at							1738	TOO_BIG
VoltageOS-Devices/kernel_xiaomi_raphael							1417	TOO_BIG
GustavoMends/kernel_xiaomi_alioth							1398	TOO_BIG
iusmac/kernel_rova							1698	TOO_BIG
chrisagrams/mscompress	41	41	49	0	3	7.3	15	VIOLATION_KEPT
DangarStu/JACL	90	90	211	0	7	7.8	55	VIOLATION_KEPT
petergeelhoed/tico	36	36	109	0	0	0.0	0	CLEAN
TARKZiM/android_kernel_samsung_sm7225							1994	TOO_BIG
crdroidandroid/android_kernel_xiaomi_sm6250							1762	TOO_BIG
Tomoms/android_kernel_essential_msm8998							1383	TOO_BIG
openharmony/third_party_musl	5271	5319	1801	0	140	2.7	61	VIOLATION_KEPT
CalyxOS/kernel_fairphone_sm7225							1476	TOO_BIG
ijc/devicetree-rebasing-v3	1190	1190	113	0	0	0.0	0	CLEAN
hexagon-geo-surv/trusted-firmware-a	3973	3973	13565	4	166	4.2	65	VIOLATION_KEPT
danielgustafsson/pgci							308	TOO_BIG
wide-video/aom							207	TOO_BIG
LineageOS/android_kernel_nubia_sm8150							1300	TOO_BIG
abasty/minwifi-esp01	3	3	0	0	0	0.0	0	CLEAN
LuBaolu/intel-iommu								CLONE_FAIL
DanielXMoore/Civet	8	8	4	0	4	50.0	7	VIOLATION_KEPT
apache/cloudberry							725	TOO_BIG
open-telemetry/opentelemetry-go-instrumentation	30	30	95	0	3	10.0	12	VIOLATION_KEPT
joypad-ai/joypad-os	516	516	1230	0	8	1.6	41	VIOLATION_KEPT
ruby/prism	84	84	234	0	7	8.3	11	VIOLATION_KEPT
pygame-community/pygame-ce	156	156	265	0	9	5.8	17	VIOLATION_KEPT
PufferAI/PufferLib							462	TOO_BIG
webserver-llc/angie	425	425	1240	5	38	8.9	14	VIOLATION_KEPT
ZSWatch/ZSWatch							250	TOO_BIG
inxware/ert-components	2161	2161	4771	9	108	5.0	332	VIOLATION_KEPT
ashvardanian/NumKong	359	359	989	0	66	18.4	24	VIOLATION_KEPT
streetpea/chiaki-ng	174	174	439	1	14	8.0	47	VIOLATION_KEPT
bitaxeorg/ESP-Miner	143	143	344	0	10	7.0	6	VIOLATION_KEPT
pgEdge/spock	74	74	226	0	4	5.4	5	VIOLATION_KEPT
shorepine/amy	64	64	84	1	3	4.7	89	VIOLATION_KEPT
lone-lang/lone	108	108	307	0	1	0.9	8	VIOLATION_KEPT
cucumber/gherkin	168	168	380	0	2	1.2	8	VIOLATION_KEPT
duckdb/duckdb-spatial	69	69	147	0	5	7.2	180	VIOLATION_KEPT
fhoedemakers/pico-infonesPlus	189	189	221	0	13	6.9	51	VIOLATION_KEPT
allyourcodebase/ffmpeg	4170	4170	21356	0	88	2.1	103	VIOLATION_KEPT
facebook/bpfilter	107	107	471	0	2	1.9	18	VIOLATION_KEPT
nxp-imx/linux-imx							3078	TOO_BIG
icl-utk-edu/papi	565	569	1039	0	37	6.5	31	VIOLATION_KEPT
RayforceDB/rayforce	3	3	1	0	0	0.0	0	CLEAN
axoflow/axosyslog	1558	1558	5480	0	24	1.5	29	VIOLATION_KEPT
tomato64/tomato64	345	349	539	1	12	3.5	15	VIOLATION_KEPT
WATonomous/wato_monorepo							274	TOO_BIG
pkgxdev/pantry	142	142	0	0	0	0.0	0	CLEAN
HallofFamer/Lox2	99	99	338	2	2	2.0	4	VIOLATION_KEPT
TF-RMM/tf-rmm	350	350	1236	0	5	1.4	10	VIOLATION_KEPT
deepin-community/kernel							3033	TOO_BIG
LineageOS/android_kernel_asus_sm8350		50875	171326	73			1408	VIOLATION_KEPT
FlopKernel-Series/flop_trinket-mi_kernel							1562	TOO_BIG
Mbed-TLS/TF-PSA-Crypto	231	231	955	0	8	3.5	21	VIOLATION_KEPT
librempeg/librempeg	4652	4652	24250	0	93	2.0	121	VIOLATION_KEPT
J-A-A-M/ukraine_alarm_map							229	TOO_BIG
liudf0716/chawrt							295	TOO_BIG
corepunch/openwarcraft3	271	271	376	2	8	3.0	13	VIOLATION_KEPT
TexasInstruments/mcupsdk-core							461	TOO_BIG
xiaomi-msm8998-devs/android_kernel_xiaomi_msm8998							1079	TOO_BIG
LineageOS/android_kernel_motorola_sm6225							1521	TOO_BIG
LineageOS/android_kernel_qcom_sm8150							1432	TOO_BIG
muralivijay/kernel_xiaomi_spes							1666	TOO_BIG
Danda420/kernel_xiaomi_sm8250							1436	TOO_BIG
LineageOS/android_kernel_qcom_sm8350							1635	TOO_BIG
nxp-auto-linux/linux							2790	TOO_BIG
sorydima/REChain-							1869	TOO_BIG
LineageOS/android_kernel_xiaomi_sm8350							1950	TOO_BIG
nxp-qoriq/linux							2927	TOO_BIG
riscv-non-isa/riscv-iopmp	1	1	0	0	0	0.0	0	CLEAN
asvio/nbg7815-nss							277	TOO_BIG
numpy/numpy-user-dtypes	77	77	114	0	10	13.0	3	VIOLATION_KEPT
NVIDIA/linux-firmware							1237	TOO_BIG
GainStrongService/mtk-openwrt-feeds							517	TOO_BIG
alifsemi/alif_ml-embedded-evaluation-kit	110	110	95	0	2	1.8	16	VIOLATION_KEPT
MFarabi619/MFarabi619							353	TOO_BIG
sreeshankark/android_kernel_oneplus_avicii							2122	TOO_BIG
keycard-tech/keycard-shell	251	251	521	1	28	11.2	180	VIOLATION_KEPT
LineageOS/android_kernel_qcom_sdm660							1413	TOO_BIG
kvm-x86/linux							2443	TOO_BIG
rany2/openwrt							256	TOO_BIG
CirrusLogic/linux-firmware							1638	TOO_BIG
LineageOS/android_kernel_motorola_sm7325							2069	TOO_BIG
LineageOS/android_kernel_sony_sm8250							1888	TOO_BIG
LineageOS/android_kernel_fairphone_sm7225							1516	TOO_BIG
crdroidandroid/android_kernel_xiaomi_surya							1801	TOO_BIG
BobTheBuidler/eth-portfolio	0	0	0	0	0		0	CLEAN
pascua28/android_kernel_samsung_sm8250							2052	TOO_BIG
1582130940/android_kernel_xiaomi_sdm660							1860	TOO_BIG
beagleboard/u-boot							303	TOO_BIG
gta4xlve-dev/android_kernel_samsung_gta4xlve							1572	TOO_BIG
Mi-Thorium/kernel_msm-4.19							1990	TOO_BIG
LineageOS/android_kernel_oneplus_sm4350							1703	TOO_BIG
icssw-org/MeshCom-Firmware	1750	1751	2802	5	68	3.9	320	VIOLATION_KEPT
Rocky7842/android_kernel_xiaomi_sdm710							1575	TOO_BIG
valibali/cluu	40	40	2	0	1	2.5	18	VIOLATION_KEPT
medicalopenworld/IncuNest	276	276	248	12	4	1.4	190	VIOLATION_KEPT
pjgowtham/android_kernel_oneplus_sm8450							2130	TOO_BIG
LineageOS/android_kernel_samsung_sm7125							1567	TOO_BIG
cea-hpc/mpc	939	945	2523	1	46	4.9	21	VIOLATION_KEPT
openeuler-mirror/umdk	628	628	1814	0	26	4.1	31	VIOLATION_KEPT
OmarAglan/Baa	156	156	270	0	2	1.3	7	VIOLATION_KEPT
LineageOS/android_kernel_fxtec_sm6115							1911	TOO_BIG
nxp-imx/imx-optee-os	2147	2147	9489	1	83	3.9	38	VIOLATION_KEPT
samsungexynos7420/android_kernel_samsung_universal7420							712	TOO_BIG
shihyu/jason_note							6525	TOO_BIG
taedlar/neolith	194	194	756	0	4	2.1	8	VIOLATION_KEPT
ExyHyperBrick/android_kernel_samsung_exynos9810							993	TOO_BIG
LineageOS/android_kernel_sony_sm8350							1939	TOO_BIG
QuartermindGames/ape							286	TOO_BIG
xiaomi-mt6785-dev/android_kernel_xiaomi_mt6785							1966	TOO_BIG
ringof/rx888-firmware	71	71	203	0	9	12.7	23	VIOLATION_KEPT
Mellanox/nic-kernel							2430	TOO_BIG
crdroidandroid/android_kernel_xiaomi_chime							1866	TOO_BIG
raspberry-vanilla/android_external_ffmpeg							322	TOO_BIG
arter97-mirror/caf_msm-5.15							2160	TOO_BIG
sizeofvoid/libopeninput	8	8	7	0	0	0.0	0	CLEAN
nxp-imx/imx-smw	322	322	1113	0	33	10.2	18	VIOLATION_KEPT
Quicr/hactar							627	TOO_BIG
oktetlabs/test-environment	1424	1424	7211	1	40	2.8	31	VIOLATION_KEPT
openenergymonitor/emon32-fw	60	60	142	0	0	0.0	0	CLEAN
PhoshMobi/phosh-mobile-settings	126	126	203	0	3	2.4	4	VIOLATION_KEPT
ibmruntimes/openssl							367	TOO_BIG
openSUSE/libvirt							711	TOO_BIG
embeddedTS/linux-lts							2705	TOO_BIG
canmeng12/packages	1469	1469	1157	6	507	34.5	149	VIOLATION_KEPT
ChristianGaser/CAT-Surface	218	218	698	1	87	39.9	49	VIOLATION_KEPT
PhoshMobi/stevia	79	79	118	1	3	3.8	3	VIOLATION_KEPT
solids4foam/cardiacFoam	0	0	0	0	0		0	CLEAN
herrnst/linux-asahi							4042	TOO_BIG
ts-factory/test-environment	1424	1424	7211	1	40	2.8	31	VIOLATION_KEPT
moto-sm7325/android_kernel_motorola_sm7325							2064	TOO_BIG
LinuxSecurityModule/kernel							3406	TOO_BIG
cijavel/co2-turtle	38	38	54	0	0	0.0	0	CLEAN
jhnc-oss/glibc							253	TOO_BIG
CodSpeedHQ/valgrind-codspeed	629	629	3533	1	87	13.8	596	VIOLATION_KEPT
sailfishos-mirror/gdb							592	TOO_BIG
sailfishos-mirror/ltp	4710	4712	6882	1	47	1.0	42	VIOLATION_KEPT
katsuster/binutils-gdb							516	TOO_BIG
hexsen929/openwrt_packages	34	34	47	0	3	8.8	12	VIOLATION_KEPT
katsuster/glibc							256	TOO_BIG
lmchale/linux							2914	TOO_BIG
hexagon-geo-surv/barebox	5530	5530	13800	2	64	1.2	101	VIOLATION_KEPT
mj22226/linux-firmware							1536	TOO_BIG
sailfishos-mirror/hostap	780	780	4030	0	66	8.5	30	VIOLATION_KEPT
katsuster/newlib-cygwin	3773	3775	5866	1	53	1.4	71	VIOLATION_KEPT
flavioc/glibc							253	TOO_BIG
mrdunk/rp2040_pio_stepper	43	43	69	0	0	0.0	0	CLEAN
digi-embedded/optee_os	2389	2392	9904	1	95	4.0	47	VIOLATION_KEPT
sailfishos-mirror/gnupg	484	484	1890	0	34	7.0	29	VIOLATION_KEPT
